Latitude,Longitude,NOC,Country Name,Code,1996 - Bronze,1996 - Silver,1996 - Gold,1996 - Medals,1996 - Pop,1996 - GDP,1996 - Percentage invested,2000 - Bronze,2000 - Silver,2000 - Gold,2000 - Medals,2000 - Pop,2000 - GDP,2000 - Percentage invested,2004 - Bronze,2004 - Silver,2004 - Gold,2004 - Medals,2004 - Pop,2004 - GDP,2004 - Percentage invested,2008 - Bronze,2008 - Silver,2008 - Gold,2008 - Medals,2008 - Pop,2008 - GDP,2008 - Percentage invested,2012 - Bronze,2012 - Silver,2012 - Gold,2012 - Medals,2012 - Pop,2012 - GDP,2012 - Percentage invested,2016 - Bronze,2016 - Silver,2016 - Gold,2016 - Medals,2016 - Pop,2016 - GDP,2016 - Percentage invested
38.5,23.0,GRE,Grèce,GRC,1,3,4,8,1.06088E7,,0.0,5,5,4,14,1.0805808E7,,0.0,6,15,5,26,1.0955141E7,,0.0120795391191228,3,2,0,5,1.1077841E7,,0.0983511715360139,2,0,0,2,1.1045011E7,,0.0631698525859827,1,0,4,5,1.0775971E7,,0.0320927940215709
12.116667,-61.666667,GRN,Grenade,,0,0,0,0,100796.0,,,0,0,0,0,101620.0,,,0,0,0,0,102655.0,,,0,0,0,0,103932.0,,,0,0,1,1,105483.0,,,0,1,0,1,,,
15.5,-90.25,GUA,Guatemala,GTM,0,0,0,0,1.0214623E7,,,0,0,0,0,1.1204183E7,,,0,0,0,0,1.23678E7,,,0,0,0,0,1.3648307E7,,,0,1,0,1,1.5082831E7,,,0,0,0,0,,,0.010170468990678999
47.0,19.0,HUN,Hongrie,HUN,16,10,4,30,1.0311238E7,46658755152,0.0168175868882915,4,15,19,38,1.0210971E7,47218405892,0.015352687005424501,2,10,22,34,1.0107146E7,104120820259,0.013804320196562197,1,6,13,20,1.0038188E7,158325614581,0.012526631247389,2,8,11,21,9931925.0,128814279315,0.015974269562557097,7,1,7,15,9830485.0,128609822750,0.097388420132359
-2.0,118.0,INA,Indonésie,,3,1,2,6,1.97097887E8,,,2,5,1,8,2.08938698E8,,,3,1,0,4,2.21293797E8,,,3,2,1,6,2.34243489E8,,,1,1,0,2,2.46864191E8,,,0,1,1,2,2.61115456E8,,
22.8,83.0,IND,Inde,,0,0,0,0,9.73147577E8,392896866205,,1,0,0,1,1.042261758E9,468394937256,,0,1,0,1,1.110626108E9,709148514816,,3,0,0,3,1.174662334E9,1198895139015,,4,1,0,5,1.236686732E9,1827637590787,,1,0,0,1,1.324171354E9,2294796885683,
32.0,53.0,IRI,Iran,,0,1,0,1,6.1440887E7,,,1,0,1,2,6.5911052E7,,,0,3,1,4,6.9342126E7,,,1,0,1,2,7.2660887E7,,,2,6,4,12,7.6424443E7,,,4,1,2,7,,,
53.0,-8.0,IRL,Irlande,IRL,0,0,1,1,3637510.0,75790786290,0.019623259374323004,0,1,0,1,3805174.0,100207610430,0.0416881728358649,0,0,0,0,4070262.0,194372115041,0.011908370077883501,2,1,0,3,4489544.0,275447471451,0.0177511573394275,3,1,1,5,4586897.0,225118718207,0.0926931070808302,1,1,0,2,,298559265006,0.0800611385387445
65.0,-19.0,ISL,Islande,ISL,0,0,0,0,268916.0,7426082271,,1,0,0,1,281205.0,9025660362,,0,0,0,0,292074.0,13825302536,,1,10,0,11,317414.0,18074622987,0.16746935726485498,0,0,0,0,320716.0,14751508134,0.134299041429281,0,0,0,0,332529.0,20793168031,0.14206287680789
31.0,35.0,ISR,Israël,ISR,1,0,0,1,,114505860827,,1,0,0,1,,136035771712,,1,0,1,2,,139973148371,,0,0,0,0,7412200.0,220531065217,,0,0,0,0,,262282344092,,2,0,0,2,,322102790387,0.0154914348789111
42.5,12.5,ITA,Italie,ITA,22,21,12,55,5.6860281E7,1312426527795,,24,11,20,55,5.6942108E7,1146676894210,,30,40,23,93,5.7685327E7,1806542968546,0.030551139246956106,16,13,5,34,5.8826731E7,2408655348719,0.0223911583318068,24,21,14,59,5.9539717E7,2086957656822,0.02079220172388,17,32,5,54,6.0599936E7,1877071687634,0.0266307030305103
